lat,lon,prov,depto,localidad,casos,fallecidos,altas,fechaact,fuente
-34.633333,-58.466667,CABA,,Flores,100,,,25/4/2020,SNVS
-34.5625,-58.458333,CABA,,Belgrano,68,,,25/4/2020,SNVS
-34.6191,-58.5266,CABA,,Villa Real,7,,,25/4/2020,SNVS
-34.616667,-58.5,CABA,,Monte Castro,17,,,25/4/2020,SNVS
-34.6105,-58.3976,CABA,,Balvanera,65,,,25/4/2020,SNVS
-34.585,-58.479444,CABA,,Parque Chas,8,,,25/4/2020,SNVS
-34.605278,-58.375833,CABA,,San Nicolas,11,,,25/4/2020,SNVS
-34.590556,-58.390556,CABA,,Recoleta,58,,,25/4/2020,SNVS
-34.6124,-58.4811,CABA,,Villa Santa Rita,12,,,25/4/2020,SNVS
-34.588889,-58.430556,CABA,,Palermo,81,,,25/4/2020,SNVS
-34.65,-58.416667,CABA,,Nueva Pompeya,15,,,25/4/2020,SNVS
-34.620556,-58.371667,CABA,,San Telmo,7,,,25/4/2020,SNVS
-34.6125,-58.383333,CABA,,Monserrat,12,,,25/4/2020,SNVS
-34.611944,-58.364722,CABA,,Puerto Madero,2,,,25/4/2020,SNVS
-34.633333,-58.48333,CABA,,Floresta,11,,,25/4/2020,SNVS
-34.573333,-58.496944,CABA,,Villa Urquiza,27,,,25/4/2020,SNVS
-34.587,-58.4542,CABA,,Chacarita,8,,,25/4/2020,SNVS
-34.6235,-58.3977,CABA,,San Cristobal,14,,,25/4/2020,SNVS
-34.6076,-58.473703,CABA,,Villa Gral Mite,10,,,25/4/2020,SNVS
-34.6,-58.516667,CABA,,Villa devoto,19,,,25/4/2020,SNVS
-34.6938052,-58.4654061,CABA,,Villa Riachuelo,4,,,25/4/2020,SNVS
-34.6087539,-58.4209254,CABA,,Almagro,37,,,25/4/2020,SNVS
-34.5608335,-58.4744639,CABA,,Coghlan,5,,,25/4/2020,SNVS
-34.6033582,-58.4912606,CABA,,Villa Del Parque,14,,,25/4/2020,SNVS
-34.6455641,-58.5193728,CABA,,Liniers,11,,,25/4/2020,SNVS
-34.5983272,-58.4424924,CABA,,Villa Crespo,20,,,25/4/2020,SNVS
-34.6469582,-58.4747494,CABA,,Parque Avellaneda,13,,,25/4/2020,SNVS
-34.5516629,-58.4890658,CABA,,Saavedra,11,,,25/4/2020,SNVS
-34.5918179,-58.3784707,CABA,,Retiro,14,,,25/4/2020,SNVS
-34.574167,-58.449167,CABA,,Colegiales,11,,,25/4/2020,SNVS
-34.583333,-58.5,CABA,,Villa Puyerredon,8,,,25/4/2020,SNVS
-34.633333,-58.483333,CABA,,Velez Sarsfield,7,,,25/4/2020,SNVS
-34.633333,-58.416667,CABA,,Boedo,9,,,25/4/2020,SNVS
-34.616667,-58.45,CABA,,Caballito,32,,,25/4/2020,SNVS
-34.633333,-58.4,CABA,,Parque Patricios,7,,,25/4/2020,SNVS
-34.6,-58.466667,CABA,,Paternal,3,,,25/4/2020,SNVS
-34.6,-58.483333,CABA,,Agronomia,2,,,25/4/2020,SNVS
-34.6355136,-58.436731,CABA,,Parque Chacabuco,8,,,25/4/2020,SNVS
-34.5804993,-58.4677769,CABA,,Villa Ortuzar,3,,,25/4/2020,SNVS
-34.6244182,-58.3849232,CABA,,Constitucion,6,,,25/4/2020,SNVS
-34.6743966,-58.476965,CABA,,Villa Lugano,17,,,25/4/2020,SNVS
-34.5432115,-58.4632147,CABA,,Nuñez,7,,,25/4/2020,SNVS
-34.6359866,-58.5026171,CABA,,Villa Luro,4,,,25/4/2020,SNVS
-34.6464072,-58.3815622,CABA,,Barracas,9,,,25/4/2020,SNVS
-34.6375231,-58.3637374,CABA,,Boca,4,,,25/4/2020,SNVS
-34.6581318,-58.5015764,CABA,,Mataderos,4,,,25/4/2020,SNVS
-34.6633764,-58.4462005,CABA,,Villa Soldati,2,,,25/4/2020,SNVS
-34.6300856,-58.5232821,CABA,,Versalles,0,,,25/4/2020,SNVS
