co_fracc,latitud,longitud,barrio,comuna,fecha,n_personas
10_1,-34.6177846887899,-58.5236340121076,Villa Real,10,2020-03-21,2
10_1,-34.6177846887899,-58.5236340121076,Villa Real,10,2020-04-05,4
10_10,-34.6222357592677,-58.4911591096941,Floresta,10,2020-03-23,2
10_10,-34.6222357592677,-58.4911591096941,Floresta,10,2020-04-02,3
10_10,-34.6222357592677,-58.4911591096941,Floresta,10,2020-04-15,1
10_10,-34.6222357592677,-58.4911591096941,Floresta,10,2020-04-18,2
10_10,-34.6222357592677,-58.4911591096941,Floresta,10,2020-04-23,1
10_11,-34.6267078512484,-58.4827078665302,Floresta,10,2020-03-25,1
10_11,-34.6267078512484,-58.4827078665302,Floresta,10,2020-03-27,1
10_11,-34.6267078512484,-58.4827078665302,Floresta,10,2020-03-19,1
10_11,-34.6267078512484,-58.4827078665302,Floresta,10,2020-04-19,2
10_12,-34.6303195322098,-58.4803012187225,Floresta,10,2020-03-23,2
10_12,-34.6303195322098,-58.4803012187225,Floresta,10,2020-03-26,1
10_12,-34.6303195322098,-58.4803012187225,Floresta,10,2020-04-21,1
10_12,-34.6303195322098,-58.4803012187225,Floresta,10,2020-04-23,1
10_12,-34.6303195322098,-58.4803012187225,Floresta,10,2020-04-27,1
10_12,-34.6303195322098,-58.4803012187225,Floresta,10,2020-04-28,1
10_12,-34.6303195322098,-58.4803012187225,Floresta,10,2020-05-04,1
10_12,-34.6303195322098,-58.4803012187225,Floresta,10,2020-05-07,1
10_13,-34.6298437337814,-58.490841895009,Velez Sarsfield,10,2020-03-25,2
10_13,-34.6298437337814,-58.490841895009,Velez Sarsfield,10,2020-03-27,1
10_13,-34.6298437337814,-58.490841895009,Velez Sarsfield,10,2020-03-23,1
10_13,-34.6298437337814,-58.490841895009,Velez Sarsfield,10,2020-04-03,1
10_13,-34.6298437337814,-58.490841895009,Velez Sarsfield,10,2020-04-12,1
10_13,-34.6298437337814,-58.490841895009,Velez Sarsfield,10,2020-04-18,1
10_13,-34.6298437337814,-58.490841895009,Velez Sarsfield,10,2020-04-29,2
10_13,-34.6298437337814,-58.490841895009,Velez Sarsfield,10,2020-05-02,1
10_14,-34.6329747374992,-58.4943853673178,Velez Sarsfield,10,2020-03-23,1
10_14,-34.6329747374992,-58.4943853673178,Velez Sarsfield,10,2020-03-26,1
10_14,-34.6329747374992,-58.4943853673178,Velez Sarsfield,10,2020-03-30,2
10_14,-34.6329747374992,-58.4943853673178,Velez Sarsfield,10,2020-04-07,2
10_14,-34.6329747374992,-58.4943853673178,Velez Sarsfield,10,2020-04-12,1
10_14,-34.6329747374992,-58.4943853673178,Velez Sarsfield,10,2020-04-10,1
10_14,-34.6329747374992,-58.4943853673178,Velez Sarsfield,10,2020-04-16,1
10_14,-34.6329747374992,-58.4943853673178,Velez Sarsfield,10,2020-04-20,2
10_14,-34.6329747374992,-58.4943853673178,Velez Sarsfield,10,2020-04-25,4
10_14,-34.6329747374992,-58.4943853673178,Velez Sarsfield,10,2020-05-03,2
10_14,-34.6329747374992,-58.4943853673178,Velez Sarsfield,10,2020-04-30,2
10_14,-34.6329747374992,-58.4943853673178,Velez Sarsfield,10,2020-05-05,2
10_15,-34.6355994914533,-58.5000945997456,Villa Luro,10,2020-03-26,1
10_15,-34.6355994914533,-58.5000945997456,Villa Luro,10,2020-03-23,1
10_15,-34.6355994914533,-58.5000945997456,Villa Luro,10,2020-04-18,1
10_15,-34.6355994914533,-58.5000945997456,Villa Luro,10,2020-04-25,1
10_15,-34.6355994914533,-58.5000945997456,Villa Luro,10,2020-04-24,1
10_15,-34.6355994914533,-58.5000945997456,Villa Luro,10,2020-04-28,2
10_15,-34.6355994914533,-58.5000945997456,Villa Luro,10,2020-04-29,1
10_15,-34.6355994914533,-58.5000945997456,Villa Luro,10,2020-05-01,1
10_16,-34.6410607278848,-58.5042584217014,Villa Luro,10,2020-03-22,1
10_16,-34.6410607278848,-58.5042584217014,Villa Luro,10,2020-03-26,2
10_16,-34.6410607278848,-58.5042584217014,Villa Luro,10,2020-03-27,1
10_16,-34.6410607278848,-58.5042584217014,Villa Luro,10,2020-03-21,1
10_16,-34.6410607278848,-58.5042584217014,Villa Luro,10,2020-04-06,1
10_16,-34.6410607278848,-58.5042584217014,Villa Luro,10,2020-04-13,3
10_16,-34.6410607278848,-58.5042584217014,Villa Luro,10,2020-04-30,1
10_16,-34.6410607278848,-58.5042584217014,Villa Luro,10,2020-05-04,2
10_16,-34.6410607278848,-58.5042584217014,Villa Luro,10,2020-05-12,1
10_17,-34.6405755988114,-58.4954752295865,Villa Luro,10,2020-03-23,3
10_17,-34.6405755988114,-58.4954752295865,Villa Luro,10,2020-03-25,3
10_17,-34.6405755988114,-58.4954752295865,Villa Luro,10,2020-03-26,2
10_17,-34.6405755988114,-58.4954752295865,Villa Luro,10,2020-03-28,1
10_17,-34.6405755988114,-58.4954752295865,Villa Luro,10,2020-04-06,2
10_17,-34.6405755988114,-58.4954752295865,Villa Luro,10,2020-03-19,2
10_17,-34.6405755988114,-58.4954752295865,Villa Luro,10,2020-04-08,1
10_17,-34.6405755988114,-58.4954752295865,Villa Luro,10,2020-04-11,2
10_17,-34.6405755988114,-58.4954752295865,Villa Luro,10,2020-04-13,2
10_17,-34.6405755988114,-58.4954752295865,Villa Luro,10,2020-04-25,4
10_17,-34.6405755988114,-58.4954752295865,Villa Luro,10,2020-04-27,2
10_17,-34.6405755988114,-58.4954752295865,Villa Luro,10,2020-05-06,3
10_17,-34.6405755988114,-58.4954752295865,Villa Luro,10,2020-05-10,2
10_17,-34.6405755988114,-58.4954752295865,Villa Luro,10,2020-05-08,2
10_18,-34.6371482750403,-58.4853241556187,Velez Sarsfield,10,2020-03-23,1
10_18,-34.6371482750403,-58.4853241556187,Velez Sarsfield,10,2020-03-25,2
10_18,-34.6371482750403,-58.4853241556187,Velez Sarsfield,10,2020-03-27,1
10_18,-34.6371482750403,-58.4853241556187,Velez Sarsfield,10,2020-04-11,2
10_18,-34.6371482750403,-58.4853241556187,Velez Sarsfield,10,2020-04-26,2
10_18,-34.6371482750403,-58.4853241556187,Velez Sarsfield,10,2020-04-25,2
10_18,-34.6371482750403,-58.4853241556187,Velez Sarsfield,10,2020-04-28,1
10_18,-34.6371482750403,-58.4853241556187,Velez Sarsfield,10,2020-05-02,2
10_18,-34.6371482750403,-58.4853241556187,Velez Sarsfield,10,2020-05-09,1
10_18,-34.6371482750403,-58.4853241556187,Velez Sarsfield,10,2020-05-12,1
10_19,-34.6344157929215,-58.4765422195602,Floresta,10,2020-03-26,2
10_19,-34.6344157929215,-58.4765422195602,Floresta,10,2020-03-28,1
10_19,-34.6344157929215,-58.4765422195602,Floresta,10,2020-03-29,1
10_19,-34.6344157929215,-58.4765422195602,Floresta,10,2020-04-03,1
10_19,-34.6344157929215,-58.4765422195602,Floresta,10,2020-03-19,2
10_19,-34.6344157929215,-58.4765422195602,Floresta,10,2020-04-10,1
10_19,-34.6344157929215,-58.4765422195602,Floresta,10,2020-04-16,1
10_19,-34.6344157929215,-58.4765422195602,Floresta,10,2020-04-21,1
10_19,-34.6344157929215,-58.4765422195602,Floresta,10,2020-05-07,2
10_19,-34.6344157929215,-58.4765422195602,Floresta,10,2020-05-08,1
10_19,-34.6344157929215,-58.4765422195602,Floresta,10,2020-05-12,1
10_2,-34.6208650816552,-58.5279081927162,Villa Real,10,2020-03-24,2
10_2,-34.6208650816552,-58.5279081927162,Villa Real,10,2020-03-28,1
10_2,-34.6208650816552,-58.5279081927162,Villa Real,10,2020-04-04,2
10_2,-34.6208650816552,-58.5279081927162,Villa Real,10,2020-04-09,1
10_2,-34.6208650816552,-58.5279081927162,Villa Real,10,2020-04-29,1
10_2,-34.6208650816552,-58.5279081927162,Villa Real,10,2020-05-01,1
10_2,-34.6208650816552,-58.5279081927162,Villa Real,10,2020-05-03,1
10_2,-34.6208650816552,-58.5279081927162,Villa Real,10,2020-05-04,1
10_2,-34.6208650816552,-58.5279081927162,Villa Real,10,2020-05-07,1
10_2,-34.6208650816552,-58.5279081927162,Villa Real,10,2020-05-11,1
10_3,-34.6304273771204,-58.5267960680881,Versalles,10,2020-03-26,1
10_3,-34.6304273771204,-58.5267960680881,Versalles,10,2020-03-30,1
10_3,-34.6304273771204,-58.5267960680881,Versalles,10,2020-04-03,1
10_3,-34.6304273771204,-58.5267960680881,Versalles,10,2020-04-06,1
10_3,-34.6304273771204,-58.5267960680881,Versalles,10,2020-04-12,1
10_3,-34.6304273771204,-58.5267960680881,Versalles,10,2020-04-16,1
10_3,-34.6304273771204,-58.5267960680881,Versalles,10,2020-04-29,1
10_4,-34.6298712610605,-58.5187831085353,Versalles,10,2020-03-23,6
10_4,-34.6298712610605,-58.5187831085353,Versalles,10,2020-03-24,4
10_4,-34.6298712610605,-58.5187831085353,Versalles,10,2020-03-27,1
10_4,-34.6298712610605,-58.5187831085353,Versalles,10,2020-03-21,2
10_4,-34.6298712610605,-58.5187831085353,Versalles,10,2020-04-08,1
10_4,-34.6298712610605,-58.5187831085353,Versalles,10,2020-04-24,1
10_4,-34.6298712610605,-58.5187831085353,Versalles,10,2020-05-02,1
10_5,-34.6226555717495,-58.5140591647424,Monte Castro,10,2020-03-22,4
10_5,-34.6226555717495,-58.5140591647424,Monte Castro,10,2020-03-24,1
10_5,-34.6226555717495,-58.5140591647424,Monte Castro,10,2020-03-25,1
